source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,ebpminrp_gspphot,ruwe,radial_velocity_error,rv_nb_transits,teff_gspphot,logg_gspphot,mh_gspphot,alphafe_gspspec,fem_gspspec,ew_espels_halpha,ew_espels_halpha_flag,nss_solution_type,has_rvs_spectrum,has_bprp_spectrum
3312709379213017728,66.90003194033417,15.589085472787543,21.284016509945314,0.022408782,105.16744918201684,-23.914466137534937,7.289236,0.0,0.9956746,0.12739536,25,6069.8384,4.2261,-0.1845,0.23,,0.10914844,0,,True,True
4802108448674124544,86.74254293533241,-45.64682962644729,11.306055724442375,0.015282749,82.3188738937581,128.8262998094242,7.2962747,0.0379,1.0012399,0.124705404,26,6337.5215,3.8683,-0.0428,0.14,-0.11,0.14342307,0,,True,True
4399875827873768192,238.34407512685357,-3.0292730045653014,18.643067206920257,0.038283695,-87.01070004326601,-18.976444462331077,7.3094597,1e-04,1.5926752,0.32404312,21,6355.9463,4.166,-0.6135,,,0.18011938,0,,True,True
6517095109079262336,336.85514426983,-49.36741560401697,27.06693138193524,0.020841528,333.63000975902975,-330.97048634650525,7.3168073,1e-04,0.91642225,0.13113014,21,5541.8403,4.255,0.1258,-0.06,-0.13,0.04447179,0,,True,True
6835987497274270848,320.463373382279,-16.27462691131004,14.880717671107403,0.0253827,117.05392153905954,-173.41184198991385,7.316956,1e-04,0.96744555,0.11896295,34,5796.0244,4.0342,-0.2884,0.04,-0.14,0.06971534,0,,True,True
48203487411427456,65.05456696075474,19.233321027772863,22.020045526274,0.031044696,114.58635515841462,-35.17157741985631,7.3269024,0.0,1.0189565,0.13004923,30,5984.102,4.2829,-0.292,0.13,,0.08622459,0,,True,True
4827523900468374272,79.25103543537568,-31.275972987345845,18.812927901239366,0.016148228,5.2206540063064075,160.24606437909557,7.3485603,1e-04,1.0166093,0.12851202,25,6183.288,4.0854,-0.8457,0.16,-0.15,0.11826886,0,,True,True
3581409233399344896,184.63369974170843,-8.904762872939772,14.192143584912829,0.028039103,-29.012482102444327,-77.16363890005076,7.3546786,0.0025,1.0427543,0.13531306,18,5856.7065,4.002,-0.681,0.21,-0.16,0.064167276,0,,True,True
6454954010413575296,309.4637255286067,-60.634773985981354,19.787156438247344,0.020504005,-191.11769122768848,-65.01991682911431,7.3553033,0.0003,1.0224379,0.124192365,26,5721.8555,4.0654,-0.1041,0.0,-0.11,0.08064235,0,,True,True
4219436280307870464,306.5094496799353,-3.864738515282685,11.136840699384903,0.028347109,35.53832844011654,-2.165360636881118,7.3590503,0.0064,1.0151469,0.123296514,15,6169.4946,3.8855,-0.7809,0.12,-0.26,0.13837592,0,,True,True
5549734058723830016,92.36537460178184,-51.38924407131356,14.28079635614113,0.01406197,-11.65389974596872,43.13392286830752,7.362575,0.0109,1.0062808,0.124397166,24,5768.9175,3.8989,0.1149,-0.01,-0.15,0.078614086,0,,True,True
5194203331750283392,101.55718997111524,-83.99125443642592,17.343805856905767,0.016577533,18.530854770261612,62.62436107886043,7.368714,1e-04,1.0316806,0.17806181,23,6444.2217,4.2115,-0.3581,0.58,,0.15146221,0,,True,True
3208926854625048064,81.47111351569538,-6.362783622431967,18.250941955969957,0.023685955,-133.8042285569344,-22.708431007778,7.3714437,0.0,0.9856501,0.13280441,27,5994.0513,4.0593,-0.447,0.19,-0.12,0.11973951,0,,True,True
4922570530295523840,1.8678081141579208,-56.01136609863486,8.274598601041902,0.018016882,74.12080330935828,26.440045915369158,7.3760448,0.0376,0.9965157,0.13505308,26,6466.7437,3.7712,-0.543,0.2,-0.15,0.12765865,0,,True,True
6421555485729063424,287.4791866712677,-68.29987825177207,27.282968673884017,0.018673846,155.73627034356014,-42.12017639173154,7.380656,0.0,1.030199,0.11870641,46,5776.3457,4.3688,-0.4802,0.15,-0.1,0.07283487,0,,True,True
146677879098433152,69.71422712830996,23.149732324476236,23.034431585394156,0.02227559,105.62660408914958,-54.239126595885544,7.3807282,0.0,0.9371711,0.14781766,18,5944.3496,4.2831,-0.1276,0.21,,0.08530832,0,,True,True
